x_i,n,sum1,sum2
-2.500000000000000e+01,38,-1.992730334209768e+00,-1.992730334401131e+00
-2.475000000000000e+01,38,-1.995478132258372e+00,-1.995478108525276e+00
-2.450000000000000e+01,38,-1.998597023430746e+00,-1.998597100377083e+00
-2.425000000000000e+01,37,-2.001901571895921e+00,-2.001901589334011e+00
-2.400000000000000e+01,37,-2.005188881734760e+00,-2.005188886076212e+00
-2.375000000000000e+01,37,-2.008250821913443e+00,-2.008250813931227e+00
-2.350000000000000e+01,36,-2.010886771065213e+00,-2.010886792093515e+00
-2.325000000000000e+01,36,-2.012916467791513e+00,-2.012916460633278e+00
-2.300000000000000e+01,36,-2.014191872394956e+00,-2.014191867783666e+00
-2.275000000000000e+01,35,-2.014607526718079e+00,-2.014607543125749e+00
-2.250000000000000e+01,35,-2.014108482354913e+00,-2.014108484610915e+00
-2.225000000000000e+01,35,-2.012695468599877e+00,-2.012695463374257e+00
-2.200000000000000e+01,34,-2.010426669812530e+00,-2.010426670312881e+00
-2.175000000000000e+01,34,-2.007416088981833e+00,-2.007416091859341e+00
-2.150000000000000e+01,34,-2.003828285699095e+00,-2.003828284796327e+00
-2.125000000000000e+01,33,-1.999869903817154e+00,-1.999869904015213e+00
-2.100000000000000e+01,33,-1.995778200436882e+00,-1.995778200216591e+00
-2.075000000000000e+01,33,-1.991807368386952e+00,-1.991807369049639e+00
-2.050000000000000e+01,32,-1.988213226055145e+00,-1.988213226664811e+00
-2.025000000000000e+01,32,-1.985237345105263e+00,-1.985237344284542e+00
-2.000000000000000e+01,32,-1.983091393320950e+00,-1.983091393252835e+00
-1.975000000000000e+01,31,-1.981942852544272e+00,-1.981942852842622e+00
-1.950000000000000e+01,31,-1.981902852904847e+00,-1.981902852887288e+00
-1.925000000000000e+01,31,-1.983017132184974e+00,-1.983017132151872e+00
-1.900000000000000e+01,30,-1.985260598531291e+00,-1.985260598245077e+00
-1.875000000000000e+01,30,-1.988536157912090e+00,-1.988536157965427e+00
-1.850000000000000e+01,30,-1.992677852509550e+00,-1.992677852249471e+00
-1.825000000000000e+01,29,-1.997458483024468e+00,-1.997458483092487e+00
-1.800000000000000e+01,29,-2.002601226887547e+00,-2.002601226937259e+00
-1.775000000000000e+01,29,-2.007794891095983e+00,-2.007794891062076e+00
-1.750000000000000e+01,28,-2.012711813850575e+00,-2.012711813833448e+00
-1.725000000000000e+01,28,-2.017027622472347e+00,-2.017027622452588e+00
-1.700000000000000e+01,28,-2.020441529508160e+00,-2.020441529486561e+00
-1.675000000000000e+01,27,-2.022696146596871e+00,-2.022696146559610e+00
-1.650000000000000e+01,27,-2.023595396025361e+00,-2.023595396014571e+00
-1.625000000000000e+01,27,-2.023019533576227e+00,-2.023019533593470e+00
-1.600000000000000e+01,26,-2.020936049424247e+00,-2.020936049422744e+00
-1.575000000000000e+01,26,-2.017405792775683e+00,-2.017405792776117e+00
-1.550000000000000e+01,26,-2.012583550773849e+00,-2.012583550776981e+00
-1.525000000000000e+01,25,-2.006712986868441e+00,-2.006712986863931e+00
-1.500000000000000e+01,25,-2.000115797932664e+00,-2.000115797936814e+00
-1.475000000000000e+01,25,-1.993175658653498e+00,-1.993175658656583e+00
-1.450000000000000e+01,24,-1.986317486665097e+00,-1.986317486663211e+00
-1.425000000000000e+01,24,-1.979983240155296e+00,-1.979983240151341e+00
-1.400000000000000e+01,24,-1.974605356232438e+00,-1.974605356231223e+00
-1.375000000000000e+01,23,-1.970579497183886e+00,-1.970579497183735e+00
-1.350000000000000e+01,23,-1.968238022053130e+00,-1.968238022054720e+00
-1.325000000000000e+01,23,-1.967825986998584e+00,-1.967825986999742e+00
-1.300000000000000e+01,22,-1.969481056096716e+00,-1.969481056097038e+00
-1.275000000000000e+01,22,-1.973218907408083e+00,-1.973218907408636e+00
-1.250000000000000e+01,22,-1.978925122596346e+00,-1.978925122595911e+00
-1.225000000000000e+01,21,-1.986354575131316e+00,-1.986354575132054e+00
-1.200000000000000e+01,21,-1.995138590709553e+00,-1.995138590709757e+00
-1.175000000000000e+01,21,-2.004800064719687e+00,-2.004800064719575e+00
-1.150000000000000e+01,20,-2.014775924346530e+00,-2.014775924346736e+00
-1.125000000000000e+01,20,-2.024446216947679e+00,-2.024446216947581e+00
-1.100000000000000e+01,20,-2.033168348186770e+00,-2.033168348186678e+00
-1.075000000000000e+01,19,-2.040314956763847e+00,-2.040314956763893e+00
-1.050000000000000e+01,19,-2.045313281495610e+00,-2.045313281495567e+00
-1.025000000000000e+01,19,-2.047684000797654e+00,-2.047684000797659e+00
-1.000000000000000e+01,18,-2.047077110824080e+00,-2.047077110823949e+00
-9.750000000000000e+00,18,-2.043302762318034e+00,-2.043302762318064e+00
-9.500000000000000e+00,18,-2.036354816210754e+00,-2.036354816210789e+00
-9.250000000000000e+00,17,-2.026425462461729e+00,-2.026425462461759e+00
-9.000000000000000e+00,17,-2.013909320613462e+00,-2.013909320613436e+00
-8.750000000000000e+00,17,-1.999396220042589e+00,-1.999396220042598e+00
-8.500000000000000e+00,16,-1.983652116412303e+00,-1.983652116412294e+00
-8.250000000000000e+00,16,-1.967588498232930e+00,-1.967588498232942e+00
-8.000000000000000e+00,16,-1.952220975380531e+00,-1.952220975380513e+00
-7.750000000000000e+00,15,-1.938618627295253e+00,-1.938618627295256e+00
-7.500000000000000e+00,15,-1.927845974658186e+00,-1.927845974658180e+00
-7.250000000000000e+00,15,-1.920900188348878e+00,-1.920900188348888e+00
-7.000000000000000e+00,14,-1.918646274442399e+00,-1.918646274442393e+00
-6.750000000000000e+00,14,-1.921753483424776e+00,-1.921753483424773e+00
-6.500000000000000e+00,13,-1.930636069679692e+00,-1.930636069679693e+00
-6.250000000000000e+00,13,-1.945401642019694e+00,-1.945401642019695e+00
-6.000000000000000e+00,13,-1.965810164356255e+00,-1.965810164356254e+00
-5.750000000000000e+00,12,-1.991246005822348e+00,-1.991246005822347e+00
-5.500000000000000e+00,12,-2.020705426134140e+00,-2.020705426134140e+00
