x_i,n,sum1,sum2
-2.500000000000000e+01,39,-1.531482545907192e+00,-1.531482577323914e+00
-2.475000000000000e+01,39,-1.534039703749438e+00,-1.534039944410324e+00
-2.450000000000000e+01,38,-1.538964865144797e+00,-1.538964927196503e+00
-2.425000000000000e+01,38,-1.545997221240458e+00,-1.545997142791748e+00
-2.400000000000000e+01,38,-1.554738674994147e+00,-1.554738685488701e+00
-2.375000000000000e+01,37,-1.564675829863716e+00,-1.564675807952881e+00
-2.350000000000000e+01,37,-1.575209582245114e+00,-1.575209632515907e+00
-2.325000000000000e+01,37,-1.585690734742424e+00,-1.585690721869469e+00
-2.300000000000000e+01,36,-1.595459426107869e+00,-1.595459416508675e+00
-2.275000000000000e+01,36,-1.603886081866453e+00,-1.603886105120182e+00
-2.250000000000000e+01,36,-1.610411299710304e+00,-1.610411323606968e+00
-2.225000000000000e+01,35,-1.614582350970669e+00,-1.614582370966673e+00
-2.200000000000000e+01,35,-1.616083739171743e+00,-1.616083744913340e+00
-2.175000000000000e+01,35,-1.614760041663165e+00,-1.614760030061007e+00
-2.150000000000000e+01,34,-1.610629179060834e+00,-1.610629178583622e+00
-2.125000000000000e+01,34,-1.603885352401835e+00,-1.603885346092284e+00
-2.100000000000000e+01,34,-1.594890966775436e+00,-1.594890966080129e+00
-2.075000000000000e+01,33,-1.584158063897495e+00,-1.584158065728843e+00
-2.050000000000000e+01,33,-1.572319902668048e+00,-1.572319902013987e+00
-2.025000000000000e+01,33,-1.560094462951160e+00,-1.560094464570284e+00
-2.000000000000000e+01,32,-1.548241694833113e+00,-1.548241694457829e+00
-1.975000000000000e+01,32,-1.537517227060788e+00,-1.537517226301134e+00
-1.950000000000000e+01,32,-1.528625102865023e+00,-1.528625103877857e+00
-1.925000000000000e+01,31,-1.522172636358361e+00,-1.522172635421157e+00
-1.900000000000000e+01,31,-1.518630034507032e+00,-1.518630033708178e+00
-1.875000000000000e+01,31,-1.518297581633657e+00,-1.518297581118532e+00
-1.850000000000000e+01,30,-1.521282400845349e+00,-1.521282400877681e+00
-1.825000000000000e+01,30,-1.527486665569580e+00,-1.527486666338518e+00
-1.800000000000000e+01,30,-1.536608095737952e+00,-1.536608095513657e+00
-1.775000000000000e+01,29,-1.548153225009480e+00,-1.548153224925045e+00
-1.750000000000000e+01,29,-1.561462772808690e+00,-1.561462772631785e+00
-1.725000000000000e+01,29,-1.575748069621347e+00,-1.575748069823021e+00
-1.700000000000000e+01,28,-1.590136410422177e+00,-1.590136410377454e+00
-1.675000000000000e+01,28,-1.603722979503538e+00,-1.603722979605664e+00
-1.650000000000000e+01,28,-1.615626168664302e+00,-1.615626168641029e+00
-1.625000000000000e+01,27,-1.625043170410200e+00,-1.625043170453864e+00
-1.600000000000000e+01,27,-1.631302270497900e+00,-1.631302270499873e+00
-1.575000000000000e+01,27,-1.633908707345320e+00,-1.633908707350201e+00
-1.550000000000000e+01,26,-1.632580926416175e+00,-1.632580926401715e+00
-1.525000000000000e+01,26,-1.627274891689034e+00,-1.627274891685374e+00
-1.500000000000000e+01,26,-1.618194442820905e+00,-1.618194442828099e+00
-1.475000000000000e+01,25,-1.605786799941471e+00,-1.605786799940688e+00
-1.450000000000000e+01,25,-1.590722864068623e+00,-1.590722864089912e+00
-1.425000000000000e+01,25,-1.573863184458253e+00,-1.573863184456059e+00
-1.400000000000000e+01,24,-1.556211045560840e+00,-1.556211045552118e+00
-1.375000000000000e+01,24,-1.538855259381460e+00,-1.538855259380398e+00
-1.350000000000000e+01,24,-1.522905652047837e+00,-1.522905652047484e+00
-1.325000000000000e+01,23,-1.509425064307764e+00,-1.509425064306015e+00
-1.300000000000000e+01,23,-1.499361724606576e+00,-1.499361724603659e+00
-1.275000000000000e+01,23,-1.493486241520837e+00,-1.493486241521623e+00
-1.250000000000000e+01,22,-1.492337048298876e+00,-1.492337048298850e+00
-1.225000000000000e+01,22,-1.496178035312995e+00,-1.496178035311914e+00
-1.200000000000000e+01,21,-1.504971250664227e+00,-1.504971250664539e+00
-1.175000000000000e+01,21,-1.518366937430629e+00,-1.518366937430983e+00
-1.150000000000000e+01,21,-1.535712238455643e+00,-1.535712238455744e+00
-1.125000000000000e+01,20,-1.556078535925676e+00,-1.556078535925963e+00
-1.100000000000000e+01,20,-1.578306803534831e+00,-1.578306803534929e+00
-1.075000000000000e+01,20,-1.601068701690376e+00,-1.601068701689940e+00
-1.050000000000000e+01,19,-1.622940700727087e+00,-1.622940700726758e+00
-1.025000000000000e+01,19,-1.642487090729698e+00,-1.642487090729389e+00
-1.000000000000000e+01,19,-1.658347595406683e+00,-1.658347595406781e+00
-9.750000000000000e+00,18,-1.669324348052285e+00,-1.669324348052271e+00
-9.500000000000000e+00,18,-1.674463339499668e+00,-1.674463339499681e+00
-9.250000000000000e+00,18,-1.673125076548049e+00,-1.673125076547990e+00
-9.000000000000000e+00,17,-1.665040082372475e+00,-1.665040082372428e+00
-8.750000000000000e+00,17,-1.650345082242543e+00,-1.650345082242524e+00
-8.500000000000000e+00,17,-1.629597100480680e+00,-1.629597100480638e+00
-8.250000000000000e+00,16,-1.603763389825057e+00,-1.603763389825048e+00
-8.000000000000000e+00,16,-1.574186819602278e+00,-1.574186819602282e+00
-7.750000000000000e+00,16,-1.542527296218052e+00,-1.542527296218005e+00
-7.500000000000000e+00,15,-1.510681535946039e+00,-1.510681535946020e+00
-7.250000000000000e+00,15,-1.480684414213351e+00,-1.480684414213346e+00
-7.000000000000000e+00,15,-1.454596614841076e+00,-1.454596614841083e+00
-6.750000000000000e+00,14,-1.434383894378934e+00,-1.434383894378936e+00
-6.500000000000000e+00,14,-1.421794273031808e+00,-1.421794273031812e+00
-6.250000000000000e+00,14,-1.418239513257543e+00,-1.418239513257541e+00
-6.000000000000000e+00,13,-1.424687554623117e+00,-1.424687554623118e+00
-5.750000000000000e+00,13,-1.441571967320977e+00,-1.441571967320973e+00
